StoreID,TRANSACTION_ID,Date,TRANS_HOUR,TRANS_MINUTE,CASHIER_NUMBER,TERMINAL_NUMBER,UPC,ProductName,CATEGORY,CATEGORY_SUB,DEPT_KEY_Name,DEPT_MASTER_Name,Quantity,Price,Sales
7044,20190127659549,2019-01-27 00:00:00.000,16,32,122,5,2100065883,KFT MAC & CHS DINNER          ,PKG DINNERSPIZZA&STUFFIN,MACARONI & CHEESE,GROCERY FS,Grocery,1,0.98,0.48
7044,20190127659928,2019-01-27 00:00:00.000,16,38,135,4,3400000125,HERSH SF CHOC SYRUP           ,ICE CREAM CONES & TOPPING,TOPPING ICE CREAM,GROCERY FS,Grocery,1,3.49,3.49
7044,20190127659921,2019-01-27 00:00:00.000,16,38,128,2,60580600018,GREEN GIANT SUGAR SNAP,PRODUCE,PRODUCE MISC CONSUMABLE,PRODUCE FS,Produce,1,3.98,3.98
7044,20190127659931,2019-01-27 00:00:00.000,16,38,122,5,2100065883,KFT MAC & CHS DINNER          ,PKG DINNERSPIZZA&STUFFIN,MACARONI & CHEESE,GROCERY FS,Grocery,1,0.98,0.48
7044,20190127660019,2019-01-27 00:00:00.000,16,40,135,4,7283000233,TILLAMOOK COLBY JACK C,CHEESE,CHEESE NAT 2 LB.,MEAT DEPT DELI TO BE DELE,Meat,1,9.78,9.78
7044,20190127660814,2019-01-27 00:00:00.000,16,53,122,5,2100065883,KFT MAC & CHS DINNER          ,PKG DINNERSPIZZA&STUFFIN,MACARONI & CHEESE,GROCERY FS,Grocery,1,0.98,0.48
7044,20190127660205,2019-01-27 00:00:00.000,16,43,135,4,8259272715,NAKED JUICE BLUE MACHI,PRODUCE,produce,PRODUCE FS,Produce,1,3.38,3.38
7044,20190127660307,2019-01-27 00:00:00.000,16,45,124,3,5150025362,CRISCO PURE VEG OIL           ,SHORTENING OILS,OIL COOKING,GROCERY FS,Grocery,1,3.67,3.67
7044,20190127660677,2019-01-27 00:00:00.000,16,51,122,5,2100065883,KFT MAC & CHS DINNER          ,PKG DINNERSPIZZA&STUFFIN,MACARONI & CHEESE,GROCERY FS,Grocery,1,0.98,0.48
7044,20190127661126,2019-01-27 00:00:00.000,16,58,122,5,3680024829,TC IBUPROFEN                  ,PAIN REMEDIES,IBUPROFEN,GM HEALTH & BEAUTY,GM,1,10.99,10.99
7044,20190223667792,2019-02-23 00:00:00.000,18,49,119,6,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,-1,3.99,-1.17
7044,20190223669619,2019-02-23 00:00:00.000,19,20,121,7,7047500041,GOIRGIO MUSH PIECES & ,CANNED VEGETABLES,VEGT MUSHROOMS-CANNED,GROCERY FS,Grocery,1,0.58,0.58
7044,20190223669049,2019-02-23 00:00:00.000,19,10,121,3,7110100160,CHERRY LANE LG BROWN 1,EGGS,EGGS BASKETS,GROCERY DAIRY,Grocery,1,3.58,3.58
7044,20190223669453,2019-02-23 00:00:00.000,19,17,119,6,3680041144,FC SHRD MEXICAN BLND,CHEESE,UNKNOWN,MEAT DEPT DELI TO BE DELE,Meat,1,2.28,2.28
7044,20190223669619,2019-02-23 00:00:00.000,19,20,121,7,7047500041,GOIRGIO MUSH PIECES & ,CANNED VEGETABLES,VEGT MUSHROOMS-CANNED,GROCERY FS,Grocery,1,0.58,0.58
7044,20190223668259,2019-02-23 00:00:00.000,18,57,119,6,23760800000,BREAD FRENCH BAGUETTE ,BAKERY PRODUCTS IN-STORE,BREADS IN-STORE,BAKERY IN STORE,Bakery,1,1.48,1.48
7044,20190223667792,2019-02-23 00:00:00.000,18,49,119,6,23631800000,DELI HOT PEPPER CHEESE,DELICATESSEN,DELI CHEESE,DELI COLD SERVICE FS,Deli,1,5.98,3.11
7044,20190223668162,2019-02-23 00:00:00.000,18,56,121,5,3410000258,HENRYS VANILLA CRM SOD,BEVERAGE & MIXES,DSD BEVERAGES-POPSINGLES,GROC CARB BEV CANDY,Grocery,1,0.89,0.89
7044,20190223671014,2019-02-23 00:00:00.000,19,43,121,7,1681,COS TUNA COUPON,COUPONS,EXCELL AD COUPONS,GROCERY FS,Grocery,1,1,-1
7044,20190223668259,2019-02-23 00:00:00.000,18,57,119,6,23760800000,BREAD FRENCH BAGUETTE ,BAKERY PRODUCTS IN-STORE,BREADS IN-STORE,BAKERY IN STORE,Bakery,1,1.48,1.48
